TargetName	groundstation3	groundstation3	groundstation3	groundstation3	imagetarget82	imagetarget82	imagetarget82	imagetarget82
TargetType	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	LocationTarget	LocationTarget	LocationTarget	LocationTarget
EventStartTime	0.0000000000	90.0000000000	180.0000000000	270.0000000000	360.0000000000	393.0000000000	423.0000000000	453.0000000000
TaskStartTime	30.0000000000	120.0000000000	210.0000000000	300.0000000000	390.0000000000	420.0000000000	450.0000000000	480.0000000000
TaskEndTime	90.0000000000	180.0000000000	270.0000000000	360.0000000000	393.0000000000	423.0000000000	453.0000000000	483.0000000000
EventEndTime	90.0000000000	180.0000000000	270.0000000000	360.0000000000	393.0000000000	423.0000000000	453.0000000000	500.0000000000
TargetLat	-2.9000000000	-2.9000000000	-2.9000000000	-2.9000000000	26.8957000000	26.8957000000	26.8957000000	26.8957000000
TargetLon	40.2000000000	40.2000000000	40.2000000000	40.2000000000	74.0632000000	74.0632000000	74.0632000000	74.0632000000
